iter	Passed	Remaining
0	147	147286
1	148	73896
2	148	49392
3	149	37133
4	149	29782
5	150	24873
6	150	21368
7	151	18740
8	151	16697
9	152	15059
10	152	13721
11	153	12605
12	153	11665
13	154	10860
14	154	10159
15	155	9545
16	155	9003
17	156	8520
18	156	8088
19	157	7699
20	157	7348
21	158	7029
22	158	6737
23	159	6470
24	159	6228
25	160	6003
26	160	5795
27	161	5600
28	161	5418
29	162	5249
30	162	5091
31	163	4942
32	163	4802
33	164	4671
34	164	4546
35	165	4430
36	166	4320
37	166	4215
38	167	4115
39	167	4020
40	168	3929
41	168	3843
42	169	3761
43	169	3684
44	170	3609
45	170	3537
46	171	3468
47	171	3403
48	172	3343
49	172	3283
50	173	3224
51	173	3167
52	174	3113
53	174	3061
54	175	3011
55	175	2963
56	176	2916
57	176	2871
58	177	2827
59	177	2787
60	178	2748
61	179	2709
62	179	2670
63	180	2633
64	180	2597
65	181	2562
66	181	2527
67	182	2497
68	182	2465
69	183	2434
70	183	2403
71	184	2375
72	184	2346
73	185	2318
74	185	2290
75	186	2264
76	186	2238
77	187	2213
78	187	2188
79	188	2164
80	188	2140
81	189	2119
82	189	2094
83	190	2073
84	190	2052
85	191	2031
86	191	2011
87	192	1991
88	192	1971
89	193	1952
90	193	1933
91	194	1915
92	194	1897
93	195	1880
94	195	1862
95	196	1845
96	196	1830
97	197	1814
98	197	1798
99	198	1782
100	198	1767
101	199	1752
102	199	1737
103	200	1723
104	200	1708
105	200	1694
106	201	1681
107	201	1667
108	202	1654
109	202	1642
110	203	1629
111	203	1617
112	204	1604
113	204	1592
114	205	1580
115	206	1570
116	206	1558
117	206	1547
118	207	1536
119	208	1528
120	208	1517
121	209	1506
122	209	1496
123	210	1486
124	210	1476
125	211	1466
126	211	1456
127	212	1446
128	212	1436
129	213	1427
130	213	1418
131	214	1408
132	214	1399
133	215	1390
134	215	1382
135	216	1373
136	216	1365
137	217	1356
138	217	1348
139	218	1340
140	218	1331
141	218	1322
142	219	1314
143	219	1307
144	220	1299
145	220	1291
146	221	1284
147	221	1277
148	222	1270
149	222	1263
150	223	1256
151	223	1249
152	224	1242
153	224	1235
154	225	1228
155	225	1221
156	226	1215
157	226	1208
158	227	1202
159	227	1196
160	228	1189
161	228	1182
162	229	1176
163	229	1170
164	230	1164
165	230	1158
166	231	1152
167	231	1146
168	232	1140
169	232	1135
170	233	1129
171	233	1124
172	234	1119
173	234	1114
174	235	1108
175	235	1103
176	236	1098
177	236	1092
178	237	1087
179	237	1082
180	238	1077
